City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Pisco,PE,60.03,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
196,Jiuquan,CN,75.18,overcast clouds,39.7432,98.5174,Jiuquan Hotel
197,Korem,ET,57.27,overcast clouds,12.5058,39.5228,Lakomeliza Hotel
201,Camargo,MX,84.94,broken clouds,27.6667,-105.1667,Hotel Santa Fe
202,Mossendjo,CG,63.73,broken clouds,-2.9506,12.7261,HOTEL D'ASSISE
203,Seoul,KR,81.97,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
204,Kitros,GR,77.95,clear sky,40.3756,22.5783,Achillion Hotel
205,Havre-Saint-Pierre,CA,55.76,broken clouds,50.2334,-63.5986,Auberge Niapiskau
206,Tobermory,CA,63.77,overcast clouds,45.2501,-81.6665,Escarpment Heights Motel
207,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
212,Buala,SB,85.17,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
213,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,hotel la terminal
215,Bolivar,US,88.75,clear sky,37.6145,-93.4105,Comfort Inn Bolivar
216,Sur,OM,85.5,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
217,Da Nang,VN,87.78,clear sky,16.0678,108.2208,Grand Mercure Danang
218,Beira,MZ,63.72,light rain,-19.8436,34.8389,Beira Terrace Hotel
219,Senanga,ZM,50.95,clear sky,-16.1167,23.2667,Zango lodge
220,Plock,PL,51.98,overcast clouds,52.5468,19.7064,HERMAN
221,Joshimath,IN,76.42,few clouds,30.5667,79.5667,Shivalik Camps & Resort
223,Cherskiy,RU,66.51,overcast clouds,68.75,161.3,Gostinitsa
224,Koumac,NC,73.51,clear sky,-20.5667,164.2833,Le Monitel
225,Flinders,AU,62.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
226,Lais,PH,83.08,moderate rain,6.3328,125.6464,Iwata - hide family beach house
227,Lorengau,PG,83.73,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
229,Cidreira,BR,62.98,overcast clouds,-30.1811,-50.2056,Hotel Castelo
231,Champerico,GT,75.36,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
232,Chernyshevskiy,RU,57.76,moderate rain,63.0128,112.4714,Chernyseyskiy
233,Balkanabat,TM,81.37,clear sky,39.5108,54.3671,Nebitchi Hotel
234,Hambantota,LK,80.55,overcast clouds,6.1241,81.1185,Bungalow 63
235,Petropavlovsk-Kamchatskiy,RU,72.19,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
236,Cabo Rojo,PR,81.68,clear sky,18.0866,-67.1457,Hotel Perichi's
237,Kuruman,ZA,48.81,clear sky,-27.4524,23.4325,Cornerstone Guest House
238,Terney,RU,59.63,moderate rain,45.0503,136.6092,"Hotel ""Ternay"""
239,Yulara,AU,62.37,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
240,Jacmel,HT,84.04,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
247,Fort Nelson,CA,76.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
249,Vao,NC,68.68,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
250,Tautira,PF,75.7,broken clouds,-17.7333,-149.15,Pension Oaoa
251,Tura,IN,80.64,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
252,Poronaysk,RU,59.07,broken clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
253,Coquimbo,CL,47.93,broken clouds,-29.9533,-71.3436,Hotel San Juan
254,Kawalu,ID,75.61,overcast clouds,-7.3817,108.2082,West Jontor
255,Gweta,BW,54.61,clear sky,-20.1833,25.2333,Gweta Lodge
257,Nouadhibou,MR,68.41,clear sky,20.931,-17.0347,El Medina
258,Kaeo,NZ,59.32,light rain,-35.1,173.7833,Bushido Lodge
260,Paramonga,PE,60.62,scattered clouds,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
262,Wum,CM,64.26,overcast clouds,6.3833,10.0667,Wum Council Hall
264,Kruisfontein,ZA,53.51,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
266,Luganville,VU,78.69,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
267,Cockburn Town,TC,81.68,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
269,Inza,RU,58.41,clear sky,53.8533,46.3586,Gostevoy Dom
270,Sainte-Anne-Des-Monts,CA,66.07,scattered clouds,49.124,-66.4924,Motel et restaurant Manoir sur Mer Enr.
271,Leh,IN,55.98,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
272,Santiago,CL,43.54,moderate rain,-33.4569,-70.6483,Hotel Panamericano
275,Katobu,ID,83.44,overcast clouds,-4.9408,122.5276,La Ode Husein
276,Mehamn,NO,53.55,few clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
277,Thunder Bay,CA,67.98,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
278,Hasaki,JP,77.4,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
280,Soyo,AO,69.03,few clouds,-6.1349,12.3689,Hospedaria ndozi'ame
282,Longyearbyen,SJ,51.64,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
283,Savannah Bight,HN,81.77,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
284,El Sauzal,MX,68.41,scattered clouds,31.9,-116.6833,Hotel Las Rosas & Spa
286,Lujan,AR,51.51,few clouds,-34.5703,-59.105,Hotel Biarritz
287,Jiazi,CN,86.56,overcast clouds,22.8779,116.067,Hotel Jin Hao
288,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
289,Hoquiam,US,65.84,mist,46.9809,-123.8893,Econo Lodge Inn & Suites
290,Bitung,ID,88.65,overcast clouds,1.4451,125.1824,K2 Lembeh
291,Saint Paul,US,82.96,broken clouds,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
295,Mocuba,MZ,57.18,clear sky,-16.8392,36.9856,Phama Lodge
296,Isangel,VU,73.51,overcast clouds,-19.55,169.2667,Tanna Lodge
297,Namwala,ZM,54.68,clear sky,-15.7504,26.4384,Corner Point Lodge
299,Bull Savanna,JM,76.98,broken clouds,17.8868,-77.5902,Big Red's
302,Nanortalik,GL,40.5,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
304,Amurzet,RU,67.44,overcast clouds,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
305,Atar,MR,89.08,clear sky,20.5169,-13.0499,Oumou Elghoura
306,Sitka,US,55.29,overcast clouds,57.0531,-135.33,Westmark Sitka
307,Key West,US,87.8,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
308,Shimoda,JP,75.56,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
309,Haines Junction,CA,64.35,overcast clouds,60.7522,-137.5108,Parkside Inn
310,Dano,BF,71.76,moderate rain,11.15,-3.0667,Auberge Phenix32-Dano
311,Constitucion,CL,43.88,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
312,Talnakh,RU,65.21,clear sky,69.4865,88.3972,Talnakh Hotel
313,Madeji,PK,82.42,overcast clouds,27.7544,68.4526,Maki Madani hotal Madeji
314,Cabras,IT,71.76,clear sky,39.93,8.5314,Hotel Villa Canu
315,Rexburg,US,87.31,clear sky,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
317,Port Hawkesbury,CA,60.39,few clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
318,Resen,MK,64.98,clear sky,41.0889,21.0122,Royal L Hotel
320,Severobaykalsk,RU,51.55,light rain,55.65,109.3167,Hostel03RUS
321,Mogadishu,SO,75.96,broken clouds,2.0371,45.3438,Hotel Juba
322,Hami,CN,86.4,overcast clouds,42.8,93.45,Laoyutang Resort
323,Azul,AR,47.34,overcast clouds,-36.777,-59.8585,Cabañas Dulcinea
324,Lucapa,AO,68.68,overcast clouds,-8.4192,20.7447,Lírio Mendes
326,Steyr,AT,58.51,overcast clouds,48.0427,14.4213,Christkindlwirt
327,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
328,Lima,PE,59.25,overcast clouds,-12.0432,-77.0282,Hotel Kamana
329,Otane,NZ,54.01,few clouds,-39.8833,176.6333,Ludlow Farmstay
331,Aklavik,CA,61.29,overcast clouds,68.2191,-135.0107,Aklavik Inn
332,Muscle Shoals,US,81.14,clear sky,34.7448,-87.6675,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
334,Veinticinco De Mayo,AR,48.97,scattered clouds,-35.4323,-60.1727,Estancia La Rosada
335,Kem,RU,56.79,overcast clouds,64.9555,34.5793,Kuzova
337,Yorosso,ML,72.27,moderate rain,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
338,Churapcha,RU,80.65,scattered clouds,62.0025,132.4325,"""Tusku"""
342,May Pen,JM,81.61,few clouds,17.9645,-77.2451,Mus Com Bac
343,Ruzhyn,UA,54.39,broken clouds,49.7228,29.2046,Alex
344,Boffa,GN,77.5,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
347,Ucluelet,CA,57.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
348,Howard Springs,AU,77.99,broken clouds,-12.497,131.047,buffalo beach hostel
349,Bubaque,GW,80.2,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
350,Grand Gaube,MU,70.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
351,Kieta,PG,84.76,light rain,-6.2167,155.6333,Uruna Bay Retreat
352,Vila Franca Do Campo,PT,70.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
353,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
355,Palmer,US,71.15,clear sky,42.1584,-72.3287,Wedgewood Motel
358,Mikumi,TZ,63.34,broken clouds,-7.4041,36.9831,Morio Motel and Campsite
362,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
363,Sawtell,AU,67.19,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
365,Warwick,US,71.29,few clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
366,Boralday,KZ,80.46,clear sky,43.3578,76.8594,"Zhetysu, Too Zhetysu"
368,Maun,BW,58.96,clear sky,-19.9833,23.4167,Enviro Villa
369,Vicente Guerrero,MX,56.59,overcast clouds,19.1194,-98.1708,Instituto De Seguridad Y Servicios Sociales De Los Trabajadores Del Estado
370,Limot,PH,85.87,moderate rain,7.0405,126.2727,Buso Hot Spring
371,Paamiut,GL,40.03,overcast clouds,61.994,-49.6678,Pistut
373,Savonlinna,FI,55.45,scattered clouds,61.8699,28.88,Spahotel Casino
377,Vila Do Maio,CV,75.99,few clouds,15.1333,-23.2167,Hotel Marilu
379,Verkhnyaya Toyma,RU,59.22,overcast clouds,62.2349,44.9985,Gostinitsa
380,Namatanai,PG,84.47,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
381,Cap Malheureux,MU,70.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
383,Nelson Bay,AU,60.12,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
384,Kamiiso,JP,64.78,broken clouds,41.8167,140.65,Business Inn Abe
385,Narsaq,GL,48.42,overcast clouds,60.9167,-46.05,Sleep In Narsaq
386,Marawi,PH,81.16,scattered clouds,7.9986,124.2928,Derogongan Residence
387,Biak,ID,76.55,overcast clouds,-0.9131,122.8766,Penginapan Kim
388,Zhaotong,CN,73.65,overcast clouds,27.3167,103.7167,Jingguan Home
390,Salinas,US,83.21,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
391,Lebu,CL,44.26,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
392,Muros,ES,67.15,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
393,Te Anau,NZ,42.82,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
394,Kailua,US,84.18,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
